Symbol,Company,Price,change,Percent Change,Market Cap
DT,"Dynatrace, Inc.",24.19,-0.96,-3.82%,"628,070"
INXN,InterXion Holding N.V.,85.35,+0.50,+0.59%,1.733M
ARW,"Arrow Electronics, Inc.",79.30,+0.02,+0.03%,"336,174"
CDK,"CDK Global, Inc.",53.07,+0.04,+0.08%,"559,159"
MLNX,"Mellanox Technologies, Ltd.",114.50,-0.45,-0.39%,"311,608"
ESTC,Elastic N.V.,78.91,+1.38,+1.78%,"663,976"
ENTG,"Entegris, Inc.",46.46,+0.53,+1.15%,"575,743"
HUBS,"HubSpot, Inc.",144.66,+0.07,+0.05%,"461,544"
WIX,Wix.com Ltd.,120.90,+0.19,+0.16%,"777,316"
SNX,SYNNEX Corporation,120.89,+0.27,+0.22%,"424,040"
PEGA,Pegasystems Inc.,77.58,0.00,0.00%,"289,778"
PCTY,Paylocity Holding Corporation,114.67,-0.71,-0.62%,"402,573"
SABR,Sabre Corporation,21.94,-0.08,-0.36%,1.673M
FLEX,Flex Ltd.,11.78,+0.07,+0.60%,2.15M
SWI,SolarWinds Corporation,19.02,-0.07,-0.37%,"385,963"
ZS,"Zscaler, Inc.",46.32,+0.90,+1.98%,1.535M
JBL,Jabil Inc.,38.64,-0.12,-0.31%,"777,620"
AVLR,"Avalara, Inc.",76.38,-1.56,-2.00%,"438,945"
CACI,CACI International Inc,231.30,-3.90,-1.66%,"143,556"
FSLR,"First Solar, Inc.",54.38,+0.52,+0.97%,"720,324"
CIEN,Ciena Corporation,36.96,+0.42,+1.15%,1.349M
NTNX,"Nutanix, Inc.",29.30,-0.39,-1.31%,2.896M
MKSI,"MKS Instruments, Inc.",102.58,-0.36,-0.35%,"213,835"
NATI,National Instruments Corporation,42.09,-0.56,-1.31%,"333,849"
CCC,Clarivate Analytics Plc,17.71,-0.29,-1.61%,2.262M
NET,"Cloudflare, Inc.",17.77,+0.41,+2.36%,1.064M
LITE,Lumentum Holdings Inc.,68.19,+1.04,+1.55%,"858,676"
RP,"RealPage, Inc.",54.39,+0.67,+1.25%,1.047M
MANH,"Manhattan Associates, Inc.",79.36,+0.32,+0.40%,"240,441"
NUAN,"Nuance Communications, Inc.",17.75,+0.23,+1.31%,4.464M
CREE,"Cree, Inc.",45.89,+1.78,+4.04%,1.345M
SAIC,Science Applications International Corporation,82.48,-1.76,-2.09%,"182,722"
MFGP,Micro Focus International plc,14.09,+0.11,+0.79%,"206,122"
JCOM,"j2 Global, Inc.",95.22,-1.66,-1.71%,"620,772"
CYBR,CyberArk Software Ltd.,121.70,+1.96,+1.64%,"628,650"
TECD,Tech Data Corporation,129.09,-0.33,-0.25%,"759,068"
VSAT,"Viasat, Inc.",73.36,+0.35,+0.48%,"284,574"
SLAB,Silicon Laboratories Inc.,103.53,+0.47,+0.46%,"211,236"
LFUS,"Littelfuse, Inc.",179.65,+0.51,+0.28%,"73,837"
PSTG,"Pure Storage, Inc.",16.86,-2.99,-15.06%,26.909M
PRSP,Perspecta Inc.,26.61,-0.19,-0.71%,"582,196"
NCR,NCR Corporation,33.29,+0.36,+1.09%,"726,538"
ACIW,"ACI Worldwide, Inc.",36.63,+0.39,+1.08%,"492,219"
PVTL,"Pivotal Software, Inc.",15.00,0.00,0.00%,"438,626"
BLKB,"Blackbaud, Inc.",83.88,-0.15,-0.18%,"127,331"
LPL,"LG Display Co., Ltd.",5.65,-0.14,-2.42%,"334,692"
AVT,"Avnet, Inc.",40.40,-0.22,-0.55%,"503,873"
SATS,EchoStar Corporation,41.71,+1.03,+2.53%,"347,393"
SMAR,Smartsheet Inc.,44.75,+0.67,+1.52%,"765,349"
CRUS,"Cirrus Logic, Inc.",69.57,-0.07,-0.10%,"345,369"
MDLA,"Medallia, Inc.",31.15,-1.19,-3.68%,"414,888"
QTWO,"Q2 Holdings, Inc.",82.32,-0.41,-0.50%,"337,257"
NEWR,"New Relic, Inc.",66.80,+0.20,+0.30%,"416,812"
SWCH,"Switch, Inc.",15.94,+0.12,+0.76%,"408,487"
LOGM,"LogMeIn, Inc.",76.90,-0.16,-0.21%,"389,609"
GLOB,Globant S.A.,102.07,+2.08,+2.08%,"290,812"
CCMP,Cabot Microelectronics Corporation,128.42,+1.47,+1.16%,"396,681"
SEDG,"SolarEdge Technologies, Inc.",76.37,-0.61,-0.79%,1.235M
CSOD,"Cornerstone OnDemand, Inc.",60.48,-0.05,-0.08%,"324,380"
FEYE,"FireEye, Inc.",16.93,-0.06,-0.32%,2.154M
COHR,"Coherent, Inc.",150.86,+1.11,+0.74%,"152,258"
DSGX,The Descartes Systems Group Inc,42.23,+0.02,+0.05%,"31,376"
VIAV,Viavi Solutions Inc.,14.92,-0.24,-1.58%,1.928M
ENV,"Envestnet, Inc.",65.33,+0.11,+0.17%,"422,642"
QLYS,"Qualys, Inc.",86.25,-1.44,-1.64%,"337,047"
RAMP,"LiveRamp Holdings, Inc.",49.23,+0.59,+1.21%,"336,001"
SMTC,Semtech Corporation,48.92,+0.26,+0.53%,"246,585"
